,Prevalence_of_Most_Common_Pitch,Prevalence_of_Most_Common_Pitch_Class,Relative_Prevalence_of_Top_Pitches,Relative_Prevalence_of_Top_Pitch_Classes,Pitch_Variability,Pitch_Class_Variability,Distance_Between_Most_Prevalent_Melodic_Intervals,Prevalence_of_Most_Common_Melodic_Interval,Relative_Prevalence_of_Most_Common_Melodic_Intervals,Repeated_Notes,Chromatic_Motion,Stepwise_Motion,Melodic_Thirds,Melodic_Perfect_Fourths,Melodic_Tritones,Melodic_Perfect_Fifths,Melodic_Sixths,Melodic_Sevenths,Melodic_Octaves,Melodic_Large_Intervals,Direction_of_Melodic_Motion,Average_Interval_Spanned_by_Melodic_Arcs,Prevalence_of_Very_Short_Rhythmic_Values,Prevalence_of_Short_Rhythmic_Values,Prevalence_of_Medium_Rhythmic_Values,Prevalence_of_Long_Rhythmic_Values,Prevalence_of_Very_Long_Rhythmic_Values,Prevalence_of_Most_Common_Rhythmic_Value,Relative_Prevalence_of_Most_Common_Rhythmic_Values,Rhythmic_Value_Variability,Variability_in_Rhythmic_Value_Run_Lengths,Rhythmic_Variability_-_Tempo_Standardized,Rhythmic_Variability
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2011/MIDI-Unprocessed_12_R1_2011_MID--AUDIO_R1-D4_13_Track13_wav.midi",0.06131, 0.1583, 0.9507, 0.8702, 11.88, 3.402, 1.0, 0.1493, 0.6556, 0.004026, 0.09786, 0.2471, 0.1502, 0.06287, 0.03592, 0.04552, 0.08083, 0.03995, 0.07866, 0.2549, 0.4419, 15.16, 0.7726, 0.8481, 0.2184, 0.03141, 9.061E-4, 0.4962, 1.0, 0.5187, 3.63, 0.006472, 0.006472
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2011/MIDI-Unprocessed_03_R1_2011_MID--AUDIO_R1-D1_17_Track17_wav.midi",0.07072, 0.1501, 0.9186, 0.8384, 13.56, 3.4, 1.0, 0.2352, 0.4772, 0.002999, 0.0647, 0.1517, 0.3475, 0.04884, 0.02185, 0.01457, 0.0377, 0.012, 0.01457, 0.3483, 0.4663, 17.87, 0.9104, 0.9655, 0.08676, 0.005345, 0.002467, 0.6164, 1.0, 0.3522, 2.734, 0.006373, 0.006373
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2011/MIDI-Unprocessed_11_R1_2011_MID--AUDIO_R1-D4_07_Track07_wav.midi",0.0697, 0.1592, 0.8737, 0.9355, 9.717, 3.432, 7.0, 0.09153, 0.8264, 0.01286, 0.07262, 0.1641, 0.1036, 0.04614, 0.02194, 0.04539, 0.1233, 0.04387, 0.05144, 0.3873, 0.5019, 15.73, 0.01761, 0.2428, 0.8973, 0.1357, 0.02054, 0.2905, 0.7753, 1.158, 0.8405, 0.01196, 0.01196
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2011/MIDI-Unprocessed_13_R1_2011_MID--AUDIO_R1-D5_04_Track04_wav.midi",0.04438, 0.1344, 0.9184, 0.9281, 15.75, 3.566, 9.0, 0.08114, 0.9807, 0.01303, 0.05979, 0.1296, 0.148, 0.06811, 0.02495, 0.04237, 0.09306, 0.02731, 0.07957, 0.374, 0.4769, 20.2, 0.8441, 0.8967, 0.1418, 0.02536, 0.00317, 0.582, 1.0, 0.6686, 7.039, 0.006692, 0.006692
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2011/MIDI-Unprocessed_12_R2_2011_MID--AUDIO_R2-D4_05_Track05_wav.midi",0.0891, 0.2995, 0.6968, 0.5174, 16.07, 3.207, 9.0, 0.1082, 0.8465, 0.01711, 0.02365, 0.06341, 0.1616, 0.0775, 0.05133, 0.05788, 0.1052, 0.0302, 0.1082, 0.3276, 0.4613, 22.02, 0.8844, 0.9536, 0.1137, 0.001896, 4.739E-4, 0.7351, 1.0, 0.2541, 5.918, 0.006717, 0.006717
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2011/MIDI-Unprocessed_03_R3_2011_MID--AUDIO_R3-D1_02_Track02_wav.midi",0.07567, 0.1613, 0.8503, 0.9354, 10.04, 3.443, 1.0, 0.1704, 0.8098, 0.008796, 0.138, 0.3083, 0.1454, 0.0588, 0.02546, 0.0338, 0.07593, 0.04213, 0.06574, 0.2356, 0.5026, 13.77, 0.7698, 0.8487, 0.222, 0.01269, 0.001812, 0.4382, 0.757, 0.6328, 2.022, 0.00658, 0.00658
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2004/MIDI-Unprocessed_XP_21_R1_2004_02_ORIG_MID--AUDIO_21_R1_2004_03_Track03_wav.midi",0.06259, 0.1616, 0.8271, 0.8465, 12.85, 3.476, 9.0, 0.1202, 0.9916, 0.004722, 0.06661, 0.1277, 0.1872, 0.05683, 0.02614, 0.03811, 0.07487, 0.01889, 0.1202, 0.3454, 0.5258, 19.63, 0.6512, 0.8059, 0.3085, 0.05777, 0.008823, 0.3364, 0.9357, 0.8445, 1.389, 0.006502, 0.006502
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2004/MIDI-Unprocessed_XP_15_R2_2004_01_ORIG_MID--AUDIO_15_R2_2004_02_Track02_wav.midi",0.05201, 0.152, 0.9701, 0.9579, 12.54, 3.458, 8.0, 0.1302, 0.5739, 0.008912, 0.009317, 0.05347, 0.1444, 0.05206, 0.02613, 0.0711, 0.1159, 0.03605, 0.1302, 0.3618, 0.4558, 20.68, 0.3804, 0.6224, 0.5964, 0.06191, 9.703E-4, 0.242, 0.8669, 0.6524, 1.479, 0.006561, 0.006561
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2004/MIDI-Unprocessed_XP_04_R1_2004_01-02_ORIG_MID--AUDIO_04_R1_2004_02_Track02_wav.midi",0.08607, 0.2519, 0.9251, 0.7147, 10.98, 3.355, 1.0, 0.123, 0.71, 0.0132, 0.08736, 0.2104, 0.129, 0.05409, 0.01413, 0.04294, 0.05558, 0.02974, 0.08662, 0.3643, 0.4867, 16.35, 0.7429, 0.8389, 0.2457, 0.03022, 0.00129, 0.5809, 1.0, 0.5396, 3.03, 0.0064, 0.0064
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2004/MIDI-Unprocessed_XP_14_R2_2004_01_ORIG_MID--AUDIO_14_R2_2004_01_Track01_wav.midi",0.07101, 0.1679, 0.7695, 0.6853, 12.35, 3.347, 1.0, 0.1018, 0.8135, 0.06249, 0.02439, 0.06262, 0.1846, 0.07488, 0.03151, 0.07001, 0.1003, 0.02993, 0.08082, 0.3028, 0.4388, 16.95, 0.5962, 0.7751, 0.3689, 0.05632, 0.005542, 0.3659, 1.0, 0.8892, 2.385, 0.006574, 0.006574
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2004/MIDI-Unprocessed_SMF_17_R1_2004_01-03_ORIG_MID--AUDIO_17_R1_2004_03_Track03_wav.midi",0.06845, 0.1804, 0.7275, 0.7788, 13.06, 3.347, 10.0, 0.09988, 0.9983, 0.01278, 0.04032, 0.14, 0.1581, 0.0662, 0.01643, 0.05492, 0.08113, 0.02688, 0.09988, 0.3436, 0.4734, 19.8, 0.8114, 0.8944, 0.1732, 0.02044, 0.002109, 0.7024, 1.0, 0.559, 8.717, 0.006489, 0.006489
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2004/MIDI-Unprocessed_XP_20_R2_2004_01_ORIG_MID--AUDIO_20_R1_2004_01_Track01_wav.midi",0.05248, 0.1615, 0.8523, 0.8506, 14.77, 3.467, 9.0, 0.1428, 0.6275, 0.02614, 0.02776, 0.07644, 0.1469, 0.03299, 0.03137, 0.0494, 0.08942, 0.03065, 0.1428, 0.3739, 0.4321, 23.18, 0.7117, 0.8325, 0.2635, 0.06974, 0.001937, 0.3723, 1.0, 0.727, 1.783, 0.006227, 0.006227
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2004/MIDI-Unprocessed_XP_17_R2_2004_01_ORIG_MID--AUDIO_17_R2_2004_04_Track04_wav.midi",0.06279, 0.1854, 0.97, 0.9763, 11.88, 3.521, 1.0, 0.1035, 0.8269, 0.01264, 0.02271, 0.07917, 0.1891, 0.08221, 0.02319, 0.04687, 0.09165, 0.03663, 0.08109, 0.3575, 0.4685, 18.79, 0.8699, 0.9305, 0.1239, 0.01099, 0.002041, 0.6865, 1.0, 0.4375, 5.616, 0.006984, 0.006984
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2004/MIDI-Unprocessed_XP_09_R1_2004_01-02_ORIG_MID--AUDIO_09_R1_2004_02_Track02_wav.midi",0.06331, 0.2013, 0.8024, 0.6949, 13.18, 3.485, 10.0, 0.08985, 0.9612, 0.01743, 0.07049, 0.1569, 0.1259, 0.0519, 0.02363, 0.06739, 0.1119, 0.04802, 0.08985, 0.3071, 0.4639, 17.75, 0.688, 0.7828, 0.2851, 0.06748, 0.003033, 0.3916, 1.0, 0.7255, 1.681, 0.006458, 0.006458
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2004/MIDI-Unprocessed_XP_08_R1_2004_04-06_ORIG_MID--AUDIO_08_R1_2004_05_Track05_wav--2.midi",0.06777, 0.1893, 0.9896, 0.9332, 12.6, 3.391, 11.0, 0.1436, 0.8682, 0.0025, 0.1246, 0.1857, 0.1386, 0.02714, 0.02286, 0.03429, 0.07857, 0.04679, 0.1436, 0.32, 0.474, 15.91, 0.8708, 0.9463, 0.1236, 0.01018, 0.0, 0.5643, 1.0, 0.3367, 1.951, 0.006452, 0.006452
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2004/MIDI-Unprocessed_SMF_07_R1_2004_01_ORIG_MID--AUDIO_07_R1_2004_12_Track12_wav.midi",0.04045, 0.1048, 0.9013, 0.9518, 14.52, 3.447, 2.0, 0.09791, 0.8298, 0.01253, 0.03732, 0.07808, 0.1622, 0.07587, 0.08124, 0.07298, 0.1027, 0.07725, 0.07904, 0.2581, 0.4846, 17.7, 0.7842, 0.863, 0.1909, 0.04271, 0.006786, 0.5883, 1.0, 0.7823, 5.783, 0.006395, 0.006395
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2004/MIDI-Unprocessed_SMF_13_01_2004_01-05_ORIG_MID--AUDIO_13_R1_2004_08_Track08_wav.midi",0.07322, 0.1895, 0.8599, 0.8692, 11.6, 3.493, 9.0, 0.109, 0.9122, 0.00174, 0.08437, 0.1801, 0.1734, 0.05016, 0.02667, 0.05451, 0.0777, 0.04436, 0.109, 0.2824, 0.4656, 15.81, 0.8798, 0.9333, 0.1137, 0.01481, 2.849E-4, 0.6499, 1.0, 0.3805, 3.913, 0.0066, 0.0066
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2004/MIDI-Unprocessed_XP_08_R1_2004_03_ORIG_MID--AUDIO_08_R1_2004_03_Track03_wav.midi",0.04837, 0.1302, 0.8821, 0.7759, 12.96, 3.51, 3.0, 0.1425, 0.6256, 0.01105, 0.04088, 0.1833, 0.153, 0.08912, 0.05088, 0.07018, 0.08912, 0.05596, 0.08895, 0.2084, 0.4864, 15.29, 0.6388, 0.7773, 0.3258, 0.05614, 0.01036, 0.4438, 1.0, 0.9576, 4.142, 0.006448, 0.006448
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2004/MIDI-Unprocessed_XP_22_R2_2004_01_ORIG_MID--AUDIO_22_R2_2004_02_Track02_wav.midi",0.05814, 0.125, 0.8176, 0.9678, 11.73, 3.404, 8.0, 0.1628, 0.4977, 0.02562, 0.03127, 0.06481, 0.1537, 0.04371, 0.02336, 0.05162, 0.08478, 0.03391, 0.1628, 0.3557, 0.4462, 18.43, 0.5543, 0.6497, 0.366, 0.1229, 0.01865, 0.4194, 1.0, 1.255, 3.425, 0.007032, 0.007032
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2004/MIDI-Unprocessed_SMF_13_01_2004_01-05_ORIG_MID--AUDIO_13_R1_2004_10_Track10_wav.midi",0.06509, 0.1781, 0.9669, 0.9033, 11.25, 3.477, 2.0, 0.1124, 0.803, 0.0144, 0.09025, 0.1473, 0.1772, 0.08195, 0.03045, 0.0443, 0.1085, 0.04264, 0.05925, 0.294, 0.4815, 15.64, 0.8881, 0.9457, 0.1065, 0.006993, 0.002152, 0.7552, 1.0, 0.426, 4.577, 0.00645, 0.00645
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2004/MIDI-Unprocessed_XP_08_R1_2004_04-06_ORIG_MID--AUDIO_08_R1_2004_04_Track04_wav.midi",0.05816, 0.199, 0.9062, 0.9148, 15.04, 3.352, 8.0, 0.1313, 0.7286, 0.003439, 0.03439, 0.09878, 0.1801, 0.05908, 0.01876, 0.05689, 0.06377, 0.02813, 0.1313, 0.3598, 0.5016, 22.44, 0.8812, 0.9506, 0.1163, 0.003029, 0.0, 0.648, 1.0, 0.272, 4.036, 0.006452, 0.006452
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2004/MIDI-Unprocessed_SMF_16_R1_2004_01-08_ORIG_MID--AUDIO_16_R1_2004_13_Track13_wav.midi",0.04847, 0.154, 0.9326, 0.9454, 15.46, 3.467, 9.0, 0.1127, 0.9464, 0.0133, 0.03368, 0.09339, 0.1876, 0.07397, 0.02337, 0.06342, 0.08735, 0.02756, 0.1127, 0.3173, 0.5102, 21.86, 0.8673, 0.9319, 0.1293, 0.00848, 7.002E-4, 0.7237, 1.0, 0.3986, 9.208, 0.006395, 0.006395
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2004/MIDI-Unprocessed_XP_19_R1_2004_01-02_ORIG_MID--AUDIO_19_R1_2004_01_Track01_wav.midi",0.08355, 0.175, 0.9937, 0.9309, 9.244, 3.331, 1.0, 0.1347, 0.874, 0.03287, 0.05885, 0.1357, 0.2524, 0.07476, 0.04613, 0.05355, 0.08643, 0.03977, 0.09067, 0.1877, 0.4644, 13.31, 0.8586, 0.9343, 0.1356, 0.009459, 0.001576, 0.7462, 1.0, 0.399, 7.562, 0.006838, 0.006838
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2004/MIDI-Unprocessed_XP_20_R2_2004_01_ORIG_MID--AUDIO_20_R1_2004_03_Track03_wav.midi",0.05819, 0.1835, 0.8998, 0.85, 11.96, 3.484, 9.0, 0.1062, 0.956, 0.01626, 0.02784, 0.08687, 0.1872, 0.06593, 0.02818, 0.05301, 0.09645, 0.03486, 0.1016, 0.3297, 0.4519, 18.9, 0.8886, 0.9436, 0.1075, 0.007665, 0.0, 0.7207, 1.0, 0.3066, 6.597, 0.006719, 0.006719
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2004/MIDI-Unprocessed_XP_18_R1_2004_01-02_ORIG_MID--AUDIO_18_R1_2004_05_Track05_wav.midi",0.09312, 0.214, 0.8354, 0.7418, 11.98, 3.168, 9.0, 0.2313, 0.3573, 0.0494, 0.02054, 0.05102, 0.1427, 0.04825, 0.02909, 0.02955, 0.08287, 0.02886, 0.2313, 0.307, 0.476, 18.75, 0.9294, 0.9623, 0.06246, 0.0115, 0.002029, 0.8156, 1.0, 0.4389, 8.628, 0.006478, 0.006478
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2004/MIDI-Unprocessed_SMF_17_R1_2004_03-06_ORIG_MID--AUDIO_20_R2_2004_12_Track12_wav--2.midi",0.04614, 0.1413, 0.9664, 0.9547, 14.28, 3.422, 9.0, 0.1001, 0.8489, 0.008554, 0.04734, 0.1132, 0.153, 0.06724, 0.04376, 0.04595, 0.08832, 0.03441, 0.1001, 0.3455, 0.4551, 20.41, 0.7953, 0.8988, 0.1929, 0.02598, 0.001939, 0.5415, 1.0, 0.5275, 3.117, 0.006427, 0.006427
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2004/MIDI-Unprocessed_XP_06_R2_2004_01_ORIG_MID--AUDIO_06_R2_2004_02_Track02_wav.midi",0.0574, 0.1289, 0.8176, 0.9272, 11.63, 3.397, 8.0, 0.168, 0.4716, 0.01504, 0.03081, 0.0642, 0.1581, 0.05466, 0.02605, 0.05282, 0.09208, 0.03778, 0.168, 0.3313, 0.4432, 18.03, 0.5032, 0.6083, 0.3625, 0.1866, 0.02491, 0.3224, 1.0, 1.417, 1.591, 0.007291, 0.007291
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2004/MIDI-Unprocessed_SMF_17_R1_2004_03-06_ORIG_MID--AUDIO_20_R2_2004_08_Track08_wav.midi",0.05031, 0.1489, 0.9639, 0.8606, 12.14, 3.459, 2.0, 0.09441, 0.9521, 0.007713, 0.06543, 0.1553, 0.1777, 0.08271, 0.05399, 0.07394, 0.1149, 0.0516, 0.08271, 0.1995, 0.4916, 13.89, 0.9217, 0.9658, 0.07806, 0.005187, 0.0, 0.799, 1.0, 0.2105, 8.449, 0.006558, 0.006558
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2004/MIDI-Unprocessed_SMF_02_R1_2004_01-05_ORIG_MID--AUDIO_02_R1_2004_08_Track08_wav.midi",0.08035, 0.1796, 0.8734, 0.918, 11.99, 3.288, 4.0, 0.1026, 0.8697, 0.01265, 0.02349, 0.05457, 0.1608, 0.08132, 0.02421, 0.1026, 0.1084, 0.0459, 0.07589, 0.3336, 0.4751, 18.4, 0.7968, 0.9291, 0.2028, 0.004912, 0.0, 0.5537, 1.0, 0.2755, 5.311, 0.006406, 0.006406
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2004/MIDI-Unprocessed_SMF_12_01_2004_01-05_ORIG_MID--AUDIO_12_R1_2004_07_Track07_wav.midi",0.04558, 0.1412, 0.9787, 0.9849, 14.18, 3.421, 9.0, 0.1096, 0.706, 0.009749, 0.04895, 0.1094, 0.1448, 0.06864, 0.04119, 0.04735, 0.08774, 0.0384, 0.1096, 0.343, 0.4651, 20.44, 0.6769, 0.8233, 0.302, 0.04616, 0.002327, 0.4152, 1.0, 0.6631, 2.627, 0.006424, 0.006424
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2004/MIDI-Unprocessed_XP_14_R2_2004_01_ORIG_MID--AUDIO_14_R2_2004_03_Track03_wav.midi",0.07589, 0.14, 0.7815, 0.9522, 10.88, 3.456, 1.0, 0.0857, 0.962, 0.0202, 0.01401, 0.0593, 0.1681, 0.05311, 0.03943, 0.058, 0.0984, 0.01694, 0.07788, 0.4086, 0.4805, 18.19, 0.8763, 0.9716, 0.1212, 0.003189, 0.0, 0.7277, 1.0, 0.2413, 3.652, 0.006796, 0.006796
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2004/MIDI-Unprocessed_SMF_22_R1_2004_01-04_ORIG_MID--AUDIO_22_R1_2004_10_Track10_wav.midi",0.06931, 0.2085, 0.8909, 0.7572, 14.02, 3.449, 9.0, 0.1018, 0.9706, 0.004301, 0.04249, 0.127, 0.165, 0.05514, 0.01616, 0.03676, 0.04562, 0.01864, 0.1018, 0.4296, 0.4857, 21.94, 0.8224, 0.888, 0.1607, 0.02601, 0.006278, 0.5783, 1.0, 0.7139, 3.732, 0.0065, 0.0065
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2004/MIDI-Unprocessed_SMF_02_R1_2004_01-05_ORIG_MID--AUDIO_02_R1_2004_10_Track10_wav.midi",0.04491, 0.1338, 0.958, 0.9495, 12.39, 3.53, 3.0, 0.128, 0.4764, 0.00685, 0.04241, 0.07666, 0.1125, 0.04909, 0.04224, 0.05122, 0.1138, 0.05024, 0.128, 0.3693, 0.4863, 18.61, 0.9182, 0.9593, 0.07866, 0.007222, 0.0, 0.6188, 1.0, 0.2737, 3.735, 0.007202, 0.007202
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2004/MIDI-Unprocessed_SMF_22_R1_2004_01-04_ORIG_MID--AUDIO_22_R1_2004_03_Track03_wav.midi",0.07101, 0.1628, 0.8602, 0.9238, 11.7, 3.502, 1.0, 0.1288, 0.6876, 0.006931, 0.08856, 0.2174, 0.09145, 0.04351, 0.008664, 0.02734, 0.04293, 0.02041, 0.02041, 0.521, 0.4936, 20.14, 0.615, 0.7711, 0.3361, 0.08093, 0.01432, 0.3852, 1.0, 1.059, 1.826, 0.006868, 0.006868
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2004/MIDI-Unprocessed_XP_09_R1_2004_05_ORIG_MID--AUDIO_09_R1_2004_07_Track07_wav.midi",0.05651, 0.1452, 0.962, 0.9951, 13.56, 3.491, 9.0, 0.1381, 0.9316, 0.01526, 0.07267, 0.1679, 0.226, 0.06977, 0.02616, 0.02762, 0.09375, 0.05959, 0.1286, 0.1853, 0.4775, 14.06, 0.7217, 0.7976, 0.2396, 0.05937, 0.02074, 0.5401, 1.0, 1.149, 3.255, 0.006488, 0.006488
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2004/MIDI-Unprocessed_XP_18_R1_2004_04_ORIG_MID--AUDIO_18_R1_2004_07_Track07_wav.midi",0.04229, 0.1241, 0.8848, 0.9446, 13.38, 3.42, 9.0, 0.09529, 0.8966, 0.00599, 0.06061, 0.1384, 0.1457, 0.06337, 0.03783, 0.04808, 0.08844, 0.03618, 0.09529, 0.3407, 0.4594, 19.13, 0.671, 0.7855, 0.2909, 0.06741, 0.01028, 0.4337, 1.0, 0.9584, 2.259, 0.006433, 0.006433
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2004/MIDI-Unprocessed_XP_10_R1_2004_01-02_ORIG_MID--AUDIO_10_R1_2004_01_Track01_wav.midi",0.07626, 0.174, 0.9014, 0.9568, 12.67, 3.28, 10.0, 0.1954, 0.7278, 0.01194, 0.0532, 0.1954, 0.0456, 0.02714, 0.006515, 0.02497, 0.05537, 0.0304, 0.1954, 0.4072, 0.4429, 23.22, 0.1396, 0.4028, 0.8142, 0.1386, 0.01289, 0.2632, 0.6735, 1.165, 0.7756, 0.008432, 0.008432
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2004/MIDI-Unprocessed_XP_19_R1_2004_01-02_ORIG_MID--AUDIO_19_R1_2004_03_Track03_wav.midi",0.05471, 0.1324, 0.7254, 0.8406, 12.59, 3.434, 9.0, 0.1325, 0.6142, 0.01035, 0.03465, 0.08369, 0.1447, 0.05824, 0.03429, 0.05138, 0.095, 0.04085, 0.1325, 0.349, 0.4842, 20.31, 0.7389, 0.8341, 0.2367, 0.04425, 0.00491, 0.5554, 1.0, 0.8087, 5.347, 0.006415, 0.006415
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2004/MIDI-Unprocessed_SMF_16_R1_2004_01-08_ORIG_MID--AUDIO_16_R1_2004_02_Track02_wav.midi",0.06746, 0.1729, 0.8319, 0.918, 12.85, 3.334, 9.0, 0.1265, 0.8454, 0.001834, 0.02139, 0.04951, 0.1705, 0.07152, 0.05562, 0.05073, 0.14, 0.02751, 0.1265, 0.3062, 0.4648, 19.17, 0.5731, 0.8146, 0.3934, 0.04308, 0.0102, 0.2868, 1.0, 0.8236, 4.408, 0.00718, 0.00718
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2004/MIDI-Unprocessed_XP_06_R1_2004_01_ORIG_MID--AUDIO_06_R1_2004_01_Track01_wav.midi",0.04901, 0.1128, 0.7736, 0.9077, 12.65, 3.443, 9.0, 0.1256, 0.5746, 0.01954, 0.03175, 0.09173, 0.129, 0.05739, 0.02986, 0.0575, 0.1057, 0.03547, 0.1256, 0.3482, 0.4638, 18.14, 0.6262, 0.758, 0.3287, 0.07545, 0.01227, 0.3964, 1.0, 1.125, 2.261, 0.006417, 0.006414
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2004/MIDI-Unprocessed_SMF_13_01_2004_01-05_ORIG_MID--AUDIO_13_R1_2004_12_Track12_wav.midi",0.07625, 0.1912, 0.7123, 0.5756, 12.46, 3.366, 1.0, 0.08059, 0.9289, 0.00788, 0.08059, 0.1554, 0.116, 0.0591, 0.04871, 0.06447, 0.1311, 0.05623, 0.0745, 0.2865, 0.4657, 17.11, 0.8597, 0.9373, 0.1327, 0.01358, 6.964E-4, 0.6696, 1.0, 0.4117, 5.195, 0.006288, 0.006288
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2004/MIDI-Unprocessed_XP_06_R2_2004_01_ORIG_MID--AUDIO_06_R2_2004_01_Track01_wav.midi",0.04629, 0.1383, 0.9869, 0.9748, 12.85, 3.456, 9.0, 0.1222, 0.4905, 0.009092, 0.05625, 0.09832, 0.11, 0.05348, 0.02897, 0.05024, 0.08877, 0.03714, 0.1222, 0.4018, 0.4417, 21.38, 0.6056, 0.7799, 0.3834, 0.03011, 7.564E-4, 0.3369, 1.0, 0.5115, 1.61, 0.006426, 0.006426
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2004/MIDI-Unprocessed_XP_09_R1_2004_01-02_ORIG_MID--AUDIO_09_R1_2004_03_Track03_wav.midi",0.0637, 0.1721, 0.8245, 0.826, 13.0, 3.342, 9.0, 0.1061, 0.9714, 0.01212, 0.0433, 0.1375, 0.1684, 0.06084, 0.01884, 0.04979, 0.07924, 0.02663, 0.1031, 0.3436, 0.4644, 19.3, 0.7572, 0.8424, 0.2204, 0.03607, 0.007171, 0.6125, 1.0, 0.7595, 7.974, 0.006459, 0.006459
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2004/MIDI-Unprocessed_XP_21_R1_2004_02_ORIG_MID--AUDIO_21_R1_2004_02_Track02_wav.midi",0.08627, 0.2119, 0.7734, 0.6814, 12.22, 3.419, 9.0, 0.1282, 0.9708, 0.03285, 0.06624, 0.09989, 0.2107, 0.08654, 0.04621, 0.03312, 0.06998, 0.02885, 0.1245, 0.2674, 0.4756, 15.58, 0.7618, 0.8666, 0.209, 0.03831, 0.01121, 0.4686, 1.0, 1.15, 2.531, 0.006752, 0.006752
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2004/MIDI-Unprocessed_XP_15_R2_2004_01_ORIG_MID--AUDIO_15_R2_2004_03_Track03_wav.midi",0.05538, 0.159, 0.9834, 0.9249, 12.83, 3.439, 9.0, 0.125, 0.5977, 0.01403, 0.03216, 0.07545, 0.147, 0.05248, 0.02515, 0.05852, 0.09238, 0.0295, 0.125, 0.3804, 0.4837, 19.74, 0.6057, 0.8228, 0.3929, 0.002528, 0.0, 0.3704, 1.0, 0.3344, 2.176, 0.006315, 0.006315
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2004/MIDI-Unprocessed_XP_11_R1_2004_03-04_ORIG_MID--AUDIO_11_R1_2004_03_Track03_wav.midi",0.06388, 0.1735, 0.9667, 0.9862, 13.38, 3.475, 9.0, 0.1239, 0.9497, 0.009764, 0.02143, 0.08137, 0.2235, 0.08299, 0.02766, 0.06916, 0.1242, 0.02983, 0.1177, 0.2338, 0.4719, 17.49, 0.6806, 0.8281, 0.312, 0.02023, 0.001863, 0.4251, 1.0, 0.4974, 1.326, 0.006365, 0.006365
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2004/MIDI-Unprocessed_XP_10_R1_2004_01-02_ORIG_MID--AUDIO_10_R1_2004_02_Track02_wav.midi",0.07301, 0.2383, 0.9261, 0.5811, 13.19, 3.342, 1.0, 0.1074, 0.9938, 0.01662, 0.08603, 0.1928, 0.1715, 0.05129, 0.02472, 0.03876, 0.07083, 0.02823, 0.09372, 0.3116, 0.4798, 18.16, 0.7766, 0.8499, 0.1885, 0.06116, 0.0103, 0.5511, 1.0, 0.9285, 7.24, 0.006251, 0.006251
